policy_number,policyholder_id,vehicle_vin,policy_type,coverage_level,currency,status,premium_amount,coverage_amount,deductible,start_date,end_date,has_roadside_assistance,has_rental_coverage,has_glass_coverage
POL-848201986760,ZW-PH-0419026831,PU61N8N1U9KU9E039,LIABILITY,PREMIUM,USD,CANCELLED,572.46,6650.95,273.35,2026-04-06,2027-04-06,True,False,True
POL-049572866860,ZW-PH-6394225258,MU237H93CXE91M1TG,COMPREHENSIVE,BASIC,USD,ACTIVE,551.74,16365.14,1556.32,2026-02-27,2027-02-27,False,False,False
POL-292693637130,ZW-PH-6851319995,3RRRLA2G1S6Y6NBH5,COMPREHENSIVE,STANDARD,USD,EXPIRED,880.80,10704.93,770.75,2025-02-15,2026-02-15,True,False,True
POL-789926345265,ZW-PH-5507000352,8JHKMRFRMTG2C5NCZ,THIRD_PARTY,STANDARD,USD,ACTIVE,534.12,9564.16,727.83,2025-11-30,2026-11-30,False,False,False
POL-408082008270,ZW-PH-4489103972,X8SSLAH7SEM6RYAEY,COMPREHENSIVE,BASIC,USD,ACTIVE,405.64,15334.71,1249.78,2025-10-31,2026-10-31,False,False,False
POL-128245252532,ZW-PH-6237049902,19JRXLPK7FBWRL6TP,COMPREHENSIVE,STANDARD,USD,CANCELLED,561.85,17049.08,1164.45,2024-08-20,2025-08-20,True,True,False
POL-152502416677,ZW-PH-1914751961,5R5MZHYYJA4XY6HLJ,COMPREHENSIVE,PREMIUM,USD,EXPIRED,1137.60,17276.48,862.10,2024-07-22,2025-07-22,True,False,False
POL-046224863386,ZW-PH-1938826320,P647FFRSDRSS8C6E6,COMPREHENSIVE,PREMIUM,USD,EXPIRED,1197.76,16361.67,657.74,2024-12-06,2025-12-06,True,True,True
POL-867693727750,ZW-PH-1938826320,50PLZP0UW1S7F1TFS,COMPREHENSIVE,BASIC,USD,ACTIVE,468.64,21361.37,1916.11,2026-04-11,2027-04-11,False,False,False
POL-464224997438,ZW-PH-3442149696,UZGLET9AXKC2HMEK4,COMPREHENSIVE,STANDARD,ZWG,ACTIVE,370.93,5553.99,368.23,2025-11-25,2026-11-25,True,False,False
POL-067253784712,ZW-PH-3442149696,9W4DD46KJGPKM958J,COLLISION,STANDARD,USD,CANCELLED,449.63,14841.12,1169.48,2024-12-31,2025-12-31,False,False,True
POL-489866115487,ZW-PH-3168887286,0SMU0NGB63HLN7GPS,COMPREHENSIVE,STANDARD,USD,CANCELLED,203.75,5216.75,357.87,2024-07-23,2025-07-23,False,True,False
POL-139383500963,ZW-PH-2434083790,2VXN0AE9KX51C4JJH,COLLISION,PREMIUM,USD,ACTIVE,265.76,4162.25,248.90,2026-02-20,2027-02-20,True,True,False
POL-522706018842,ZW-PH-4382948470,967D628ZNMK9CV109,COMPREHENSIVE,STANDARD,USD,CANCELLED,163.84,4052.82,284.91,2024-12-15,2025-12-15,False,False,False
POL-867502097367,ZW-PH-6368750560,MJG1D7MVX1YECZW8W,COMPREHENSIVE,BASIC,USD,ACTIVE,149.69,2067.63,177.20,2025-05-13,2026-05-13,True,False,False
POL-831054821966,ZW-PH-0907476647,6969PUDC64H1ANGKX,LIABILITY,BASIC,USD,SUSPENDED,81.90,2749.36,264.21,2025-12-29,2026-12-29,False,False,False
POL-097185610523,ZW-PH-0907476647,817Z9V5YZ8A39TJK6,COMPREHENSIVE,PREMIUM,USD,EXPIRED,174.06,3938.49,158.72,2024-11-03,2025-11-03,True,False,False
POL-991644132577,ZW-PH-0296710243,XHYWZ3PRA59F97LT9,COMPREHENSIVE,STANDARD,ZWG,EXPIRED,623.19,15506.94,1195.59,2024-12-22,2025-12-22,False,True,True
POL-014629055701,ZW-PH-0045227746,08BSHS1FNVVVZUGCJ,COLLISION,STANDARD,ZWG,EXPIRED,653.43,8917.50,612.63,2025-03-18,2026-03-18,False,False,False
POL-223881890115,ZW-PH-0746915640,8TM1D58EGJ7A0KLL6,COMPREHENSIVE,STANDARD,USD,CANCELLED,670.58,11567.81,862.96,2024-10-06,2025-10-06,True,False,False
POL-015221026640,ZW-PH-1550994184,RD6L8F1BPM17PCE3P,THIRD_PARTY,STANDARD,USD,EXPIRED,337.74,4219.52,337.56,2025-01-07,2026-01-07,False,True,False
POL-495264872476,ZW-PH-7077836894,SJH039NLKLNF3ATYY,COLLISION,STANDARD,ZWG,ACTIVE,1293.19,30618.16,2082.03,2026-03-29,2027-03-29,True,False,False
POL-921703307608,ZW-PH-1203034246,RFATGK784NC8MS5T4,THIRD_PARTY,STANDARD,USD,EXPIRED,511.91,8223.10,578.08,2025-01-17,2026-01-17,True,False,False
POL-346514299324,ZW-PH-0879978972,7ZVBF6XYSFLDY0ELM,COMPREHENSIVE,PREMIUM,ZWG,EXPIRED,1292.86,21120.12,1241.86,2024-06-06,2025-06-06,True,False,True
POL-460115088656,ZW-PH-0879978972,R4GKSSZZ8NYX168AY,THIRD_PARTY,PREMIUM,USD,ACTIVE,292.53,6155.08,310.22,2025-09-07,2026-09-07,True,True,False
POL-080047163334,ZW-PH-6638503213,XNFRPHPABDD5TB8MG,COLLISION,STANDARD,USD,EXPIRED,840.41,16967.60,1318.38,2025-02-20,2026-02-20,True,True,False
POL-031326109737,ZW-PH-4490349806,HD68RP56SZ7PTTD93,COMPREHENSIVE,PREMIUM,USD,ACTIVE,1630.70,29474.37,1453.09,2026-02-08,2027-02-08,True,False,True
POL-412166953632,ZW-PH-3750214104,K3U9015R3SVMAZMZX,THIRD_PARTY,BASIC,USD,SUSPENDED,651.12,9544.23,861.84,2025-06-15,2026-06-15,False,False,False
POL-971762988898,ZW-PH-4234404631,UP9SDUPU10YKRKP91,COLLISION,STANDARD,USD,EXPIRED,108.05,2438.70,149.98,2024-09-15,2025-09-15,True,False,False
POL-706746874024,ZW-PH-9821733085,MRS30W0SRBLYMG9CG,COMPREHENSIVE,STANDARD,USD,EXPIRED,553.29,10094.70,751.05,2024-11-24,2025-11-24,False,True,False
POL-646181757406,ZW-PH-2977214415,5DSXML7P721HLTEFG,COMPREHENSIVE,STANDARD,USD,EXPIRED,203.68,6276.59,392.29,2024-09-24,2025-09-24,True,False,False
POL-935616412566,ZW-PH-5937882116,RNBHFDVN4X3B1PMPV,COLLISION,BASIC,USD,ACTIVE,476.82,7560.32,684.96,2026-02-06,2027-02-06,False,False,False
POL-955474458054,ZW-PH-9516594889,T1K8PJG4D8SENWFWA,COMPREHENSIVE,BASIC,USD,ACTIVE,404.55,13666.05,1317.41,2025-10-15,2026-10-15,False,False,False
POL-742725635692,ZW-PH-9516594889,SX857V1TKUPC29ZS5,COMPREHENSIVE,STANDARD,ZWG,CANCELLED,96.45,4255.59,319.17,2025-12-13,2026-12-13,True,False,False
POL-582333354789,ZW-PH-7868765643,MJ33PHGKZPJB470PP,COMPREHENSIVE,PREMIUM,USD,EXPIRED,231.47,4795.26,258.94,2024-12-14,2025-12-14,False,False,True
POL-169678473451,ZW-PH-8399423598,NB85YY9JC12JT5FYS,COMPREHENSIVE,STANDARD,USD,CANCELLED,610.55,12085.31,848.39,2025-03-15,2026-03-15,False,False,True
POL-300567672596,ZW-PH-8617400285,CW7LNH5ZTCD3TDM0Z,COMPREHENSIVE,STANDARD,USD,ACTIVE,1278.40,24311.13,1699.35,2025-06-13,2026-06-13,True,True,False
POL-901559633010,ZW-PH-8617400285,SFJ7NU495RAWH9KT1,LIABILITY,STANDARD,USD,EXPIRED,262.02,7494.85,564.36,2024-05-23,2025-05-23,False,False,False
POL-665203652671,ZW-PH-2073767730,B3SNXZYASAFB6RCED,COMPREHENSIVE,PREMIUM,USD,ACTIVE,359.11,3759.27,183.08,2025-05-01,2026-05-01,False,True,False
POL-166850802008,ZW-PH-2073767730,X12815TELZF7C94XD,COMPREHENSIVE,BASIC,ZWG,ACTIVE,829.37,15623.93,1437.40,2025-05-11,2026-05-11,False,True,False
POL-438229947532,ZW-PH-6372044912,4GMJNHE00F6DLMEBD,COMPREHENSIVE,PREMIUM,ZWG,ACTIVE,2318.66,32536.98,1835.09,2025-11-03,2026-11-03,True,True,True
POL-424078302576,ZW-PH-6372044912,KWLDGR3A1MS4YP16S,COLLISION,BASIC,USD,CANCELLED,487.90,10373.03,930.46,2025-01-09,2026-01-09,False,False,False
POL-527299009428,ZW-PH-4013329015,YT929S1P5MX1C8N4W,COLLISION,STANDARD,ZWG,EXPIRED,182.85,2692.84,212.73,2024-12-31,2025-12-31,False,True,False
POL-097499822932,ZW-PH-4013329015,DPRDS20KFDGK8D0WS,COMPREHENSIVE,STANDARD,USD,CANCELLED,1076.85,20318.48,1397.91,2025-02-22,2026-02-22,False,False,True
