policyholder_id,make,model,manufacture_year,vehicle_type,vin,registration_number,engine_capacity,fuel_type,seating_capacity,market_value,odometer_reading,has_anti_theft,has_airbags,has_abs,is_modified
ZW-PH-0419026831,Honda,HR-V,2013,SEDAN,PU61N8N1U9KU9E039,BRS 6025,1647,DIESEL,5,6650.95,313286,False,True,True,False
ZW-PH-6394225258,Ford,Fiesta,2020,TRUCK,MU237H93CXE91M1TG,CBH 5440,2490,PETROL,5,10910.09,92451,True,True,True,False
ZW-PH-6851319995,Ford,Ranger,2012,TRUCK,3RRRLA2G1S6Y6NBH5,FVB 1366,3659,PETROL,2,7136.62,287483,False,True,True,False
ZW-PH-5507000352,BMW,3 Series,2011,HATCHBACK,8JHKMRFRMTG2C5NCZ,IKB 2876,1929,PETROL,5,9564.16,248449,True,True,True,False
ZW-PH-4489103972,Mitsubishi,Outlander,2012,SUV,X8SSLAH7SEM6RYAEY,XRY 6415,4809,DIESEL,5,10223.14,285473,False,True,True,False
ZW-PH-6237049902,Mercedes-Benz,ML-Class,2018,HATCHBACK,19JRXLPK7FBWRL6TP,TIV 0759,1970,PETROL,5,11366.05,182701,True,True,True,False
ZW-PH-1914751961,Mazda,Atenza,2016,HATCHBACK,5R5MZHYYJA4XY6HLJ,ELH 2591,2351,PETROL,5,11517.65,226904,True,True,True,False
ZW-PH-1938826320,Isuzu,D-Max,2009,TRUCK,P647FFRSDRSS8C6E6,SXQ 9607,4593,PETROL,2,10907.78,341705,False,True,True,False
ZW-PH-1938826320,Honda,Fit,2017,SEDAN,50PLZP0UW1S7F1TFS,AQF 0614,1680,DIESEL,5,14240.91,215705,True,True,True,True
ZW-PH-3442149696,Suzuki,Vitara,2008,SEDAN,UZGLET9AXKC2HMEK4,VCG 6363,2330,DIESEL,5,3702.66,395524,False,True,True,False
ZW-PH-3442149696,Nissan,March,2012,SEDAN,9W4DD46KJGPKM958J,LUZ 4046,1335,DIESEL,5,12367.6,335761,True,True,True,False
ZW-PH-3168887286,Honda,HR-V,2007,SEDAN,0SMU0NGB63HLN7GPS,PPW 7742,2026,PETROL,5,3477.83,425111,True,True,True,False
ZW-PH-2434083790,Suzuki,Vitara,2013,SEDAN,2VXN0AE9KX51C4JJH,WAK 9778,1815,DIESEL,5,3468.54,264322,False,True,True,False
ZW-PH-4382948470,Suzuki,Jimny,2005,SEDAN,967D628ZNMK9CV109,DAN 7617,1322,DIESEL,5,2701.88,514857,True,True,False,False
ZW-PH-6368750560,Mazda,Demio,2012,HATCHBACK,MJG1D7MVX1YECZW8W,SFV 9220,1869,DIESEL,5,1378.42,272390,False,True,True,True
ZW-PH-0907476647,Mitsubishi,Pajero,2015,SUV,6969PUDC64H1ANGKX,AVJ 5523,2669,DIESEL,7,2749.36,239616,True,True,True,False
ZW-PH-0907476647,Mazda,Premacy,2011,SEDAN,817Z9V5YZ8A39TJK6,IUZ 7317,2394,PETROL,5,2625.66,324018,True,True,True,False
ZW-PH-0296710243,Mercedes-Benz,C-Class,2016,SEDAN,XHYWZ3PRA59F97LT9,RUC 9535,1264,PETROL,5,10337.96,206781,True,True,True,False
ZW-PH-0045227746,Toyota,Vitz,2016,SEDAN,08BSHS1FNVVVZUGCJ,DUU 8351,1266,PETROL,5,7431.25,236885,False,True,True,False
ZW-PH-0746915640,Ford,Ranger,2018,TRUCK,8TM1D58EGJ7A0KLL6,BCS 7080,4826,DIESEL,5,7711.87,134650,False,True,True,True
ZW-PH-1550994184,BMW,5 Series,2012,SEDAN,RD6L8F1BPM17PCE3P,VPR 1124,1518,PETROL,5,4219.52,340800,False,True,True,True
ZW-PH-7077836894,Isuzu,D-Max,2021,TRUCK,SJH039NLKLNF3ATYY,AKP 3963,2715,DIESEL,2,25515.13,91303,False,True,True,False
ZW-PH-1203034246,Mazda,Atenza,2016,HATCHBACK,RFATGK784NC8MS5T4,SHN 0533,1901,PETROL,5,8223.1,207220,False,True,True,False
ZW-PH-0879978972,Mercedes-Benz,GLE,2012,SEDAN,7ZVBF6XYSFLDY0ELM,IDM 1325,1953,PETROL,5,14080.08,250503,False,True,True,False
ZW-PH-0879978972,Volkswagen,Passat,2017,HATCHBACK,R4GKSSZZ8NYX168AY,BDW 2010,1977,PETROL,5,6155.08,158134,True,True,True,True
ZW-PH-6638503213,Isuzu,Trooper,2013,TRUCK,XNFRPHPABDD5TB8MG,QHB 3867,4790,DIESEL,5,14139.67,234022,False,True,True,False
ZW-PH-4490349806,Nissan,Navara,2020,TRUCK,HD68RP56SZ7PTTD93,OFQ 9258,2433,DIESEL,5,19649.58,102045,True,True,True,False
ZW-PH-3750214104,Nissan,March,2008,SEDAN,K3U9015R3SVMAZMZX,XKE 3287,2393,PETROL,5,9544.23,286309,False,True,True,False
ZW-PH-4234404631,Volkswagen,Passat,2011,SEDAN,UP9SDUPU10YKRKP91,HGP 2392,2198,PETROL,5,2032.25,290174,False,True,True,False
ZW-PH-9821733085,Honda,Civic,2020,SEDAN,MRS30W0SRBLYMG9CG,IHV 7276,1409,PETROL,5,6729.8,142031,False,True,True,False
ZW-PH-2977214415,Isuzu,D-Max,2009,TRUCK,5DSXML7P721HLTEFG,LDB 3791,3118,DIESEL,2,4184.39,307792,False,True,True,False
ZW-PH-5937882116,Nissan,X-Trail,2013,HATCHBACK,RNBHFDVN4X3B1PMPV,WCH 4049,1970,PETROL,5,6300.27,265795,True,True,True,False
ZW-PH-9516594889,Nissan,Qashqai,2021,SEDAN,T1K8PJG4D8SENWFWA,CTU 7605,1645,PETROL,5,9110.7,106563,True,True,True,False
ZW-PH-9516594889,Ford,EcoSport,2012,TRUCK,SX857V1TKUPC29ZS5,XFU 0411,3267,DIESEL,5,2837.06,249322,False,True,True,False
ZW-PH-7868765643,Mazda,Atenza,2017,SEDAN,MJ33PHGKZPJB470PP,PYN 3914,1623,PETROL,5,3196.84,142226,True,True,True,False
ZW-PH-8399423598,Mercedes-Benz,ML-Class,2012,SEDAN,NB85YY9JC12JT5FYS,HJT 6704,2369,PETROL,5,8056.87,314990,False,True,True,False
ZW-PH-8617400285,Mercedes-Benz,C-Class,2010,SEDAN,CW7LNH5ZTCD3TDM0Z,IZK 2788,2123,PETROL,5,16207.42,288222,False,True,True,False
ZW-PH-8617400285,Honda,Stream,2006,SEDAN,SFJ7NU495RAWH9KT1,OIW 9343,1467,DIESEL,5,7494.85,497023,True,True,False,False
